audit,strategy,model,metric,value,ci_low,ci_high,n
german_credit_lending,post_processing,gradient_boosting,f1,0.8247422680412371,0.7642424242424242,0.8619109657389954,200
healthcare_readmission,baseline,logistic_regression,accuracy,0.887481783004171,0.8831071913161466,0.8918299914568572,19899
healthcare_readmission,baseline,logistic_regression,auc,0.6187493237440771,,,19899
healthcare_readmission,baseline,logistic_regression,f1,0.038643194504079006,0.027899120480508254,0.05023915557326814,19899
healthcare_readmission,baseline,random_forest,accuracy,0.8879340670385446,0.8835092215689231,0.8923827830544249,19899
healthcare_readmission,baseline,random_forest,auc,0.6456590768051884,,,19899
healthcare_readmission,baseline,random_forest,f1,0.02107111501316945,0.013413993065220068,0.030049977283053156,19899
healthcare_readmission,baseline,gradient_boosting,accuracy,0.8879843208201417,0.8837843610231669,0.8923375546509875,19899
healthcare_readmission,baseline,gradient_boosting,auc,0.6711207616333124,,,19899
healthcare_readmission,baseline,gradient_boosting,f1,0.023653088042049936,0.015389029343798764,0.03291959415734491,19899
healthcare_readmission,unawareness,logistic_regression,accuracy,0.8876827981305593,0.883408714005729,0.8919543695663099,19899
healthcare_readmission,unawareness,logistic_regression,auc,0.6218564140482841,,,19899
healthcare_readmission,unawareness,logistic_regression,f1,0.02529437418229394,0.015859560643581443,0.03475746406256624,19899
healthcare_readmission,unawareness,random_forest,accuracy,0.8880848283833358,0.8839326096788783,0.8924569073822806,19899
healthcare_readmission,unawareness,random_forest,auc,0.6418599312125779,,,19899
healthcare_readmission,unawareness,random_forest,f1,0.02367382726874178,0.014850421804023363,0.03227245320251048,19899
healthcare_readmission,unawareness,gradient_boosting,accuracy,0.8879340670385446,0.8838132569475853,0.892260917634052,19899
healthcare_readmission,unawareness,gradient_boosting,auc,0.6685026661270979,,,19899
healthcare_readmission,unawareness,gradient_boosting,f1,0.024496937882764656,0.016063836117132052,0.03398617511520737,19899
healthcare_readmission,unawareness_proxy_removal,logistic_regression,accuracy,0.887481783004171,0.8832793105181165,0.8918299914568572,19899
healthcare_readmission,unawareness_proxy_removal,logistic_regression,auc,0.5750128029341461,,,19899
healthcare_readmission,unawareness_proxy_removal,logistic_regression,f1,0.00267260579064588,0.00041018998272884864,0.005826636946759958,19899
healthcare_readmission,unawareness_proxy_removal,random_forest,accuracy,0.887481783004171,0.8833320769887933,0.8918036082215187,19899
healthcare_readmission,unawareness_proxy_removal,random_forest,auc,0.5709647064726212,,,19899
healthcare_readmission,unawareness_proxy_removal,random_forest,f1,0.0017833259028087382,0.0,0.004600103038755007,19899
healthcare_readmission,unawareness_proxy_removal,gradient_boosting,accuracy,0.8875822905673652,0.8834853510226645,0.8919304990200513,19899
healthcare_readmission,unawareness_proxy_removal,gradient_boosting,auc,0.6028481428840392,,,19899
healthcare_readmission,unawareness_proxy_removal,gradient_boosting,f1,0.00178491744756805,0.0,0.00454014870769367,19899
healthcare_readmission,in_processing,logistic_regression,accuracy,0.887481783004171,0.8832793105181165,0.8918299914568572,19899
healthcare_readmission,in_processing,logistic_regression,auc,0.5004450049045183,,,19899
